date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:48	22502/22502	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.rtc-services.html	debser/debian-handbook.info/browse/stable/sect.rtc-services.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:49	77417/77417	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/advanced-administration.html	debser/debian-handbook.info/browse/stable/advanced-administration.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:50	66501/66501	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.virtualization.html	debser/debian-handbook.info/browse/stable/sect.virtualization.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:51	29778/29778	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.automated-installation.html	debser/debian-handbook.info/browse/stable/sect.automated-installation.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:52	25616/25616	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.monitoring.html	debser/debian-handbook.info/browse/stable/sect.monitoring.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:53	12443/12443	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/workstation.html	debser/debian-handbook.info/browse/stable/workstation.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:54	11966/11966	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.customizing-graphical-interface.html	debser/debian-handbook.info/browse/stable/sect.customizing-graphical-interface.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:55	9002/9002	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.graphical-desktops.html	debser/debian-handbook.info/browse/stable/sect.graphical-desktops.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:56	8011/8011	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.main-desktop-tools.html	debser/debian-handbook.info/browse/stable/sect.main-desktop-tools.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:57	7262/7262	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.web-browsers.html	debser/debian-handbook.info/browse/stable/sect.web-browsers.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:58	4099/4099	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.development.html	debser/debian-handbook.info/browse/stable/sect.development.html	(from https://debian-handbook.info/browse/stable/index.html)
19:34:59	7235/7235	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.collaborative-work.html	debser/debian-handbook.info/browse/stable/sect.collaborative-work.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:00	6246/6246	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.office-suites.html	debser/debian-handbook.info/browse/stable/sect.office-suites.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:01	9457/9457	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.windows-emulation.html	debser/debian-handbook.info/browse/stable/sect.windows-emulation.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:02	9706/9706	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.rtc-clients.html	debser/debian-handbook.info/browse/stable/sect.rtc-clients.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:03	15151/15151	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/security.html	debser/debian-handbook.info/browse/stable/security.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:04	26255/26255	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.firewall-packet-filtering.html	debser/debian-handbook.info/browse/stable/sect.firewall-packet-filtering.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:05	30132/30132	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.supervision.html	debser/debian-handbook.info/browse/stable/sect.supervision.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:06	20897/20897	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.apparmor.html	debser/debian-handbook.info/browse/stable/sect.apparmor.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:07	43299/43299	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.selinux.html	debser/debian-handbook.info/browse/stable/sect.selinux.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:08	19443/19443	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.other-security-considerations.html	debser/debian-handbook.info/browse/stable/sect.other-security-considerations.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:09	19195/19195	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.dealing-with-compromised-machine.html	debser/debian-handbook.info/browse/stable/sect.dealing-with-compromised-machine.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:10	19125/19125	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/debian-packaging.html	debser/debian-handbook.info/browse/stable/debian-packaging.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:11	18371/18371	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.building-first-package.html	debser/debian-handbook.info/browse/stable/sect.building-first-package.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:12	11762/11762	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.setup-apt-package-repository.html	debser/debian-handbook.info/browse/stable/sect.setup-apt-package-repository.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:13	22396/22396	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.becoming-package-maintainer.html	debser/debian-handbook.info/browse/stable/sect.becoming-package-maintainer.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:14	5354/5354	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/conclusion.html	debser/debian-handbook.info/browse/stable/conclusion.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:15	4159/4159	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.future-of-debian.html	debser/debian-handbook.info/browse/stable/sect.future-of-debian.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:16	4602/4602	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.future-of-this-book.html	debser/debian-handbook.info/browse/stable/sect.future-of-this-book.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:17	4387/4387	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/derivative-distributions.html	debser/debian-handbook.info/browse/stable/derivative-distributions.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:18	6053/6053	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.ubuntu.html	debser/debian-handbook.info/browse/stable/sect.ubuntu.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:19	3667/3667	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.linux-mint.html	debser/debian-handbook.info/browse/stable/sect.linux-mint.html	(from https://debian-handbook.info/browse/stable/index.html)
